dmy float,dmy,irtemp c,min c,max c
1834.0027322404371,1834-01-01,6.95,3.9,5.0
1834.0874316939892,1834-02-01,5.5,4.4,3.3
1834.1639344262296,1834-03-01,16.1,10.0,11.1
1834.2486338797814,1834-04-01,14.45,8.9,10.0
1834.3306010928961,1834-05-01,14.7,9.4,10.0
1834.4153005464482,1834-06-01,15.05,8.9,10.6
1834.4972677595629,1834-07-01,6.050000000000001,3.3,4.4
1834.5819672131147,1834-08-01,7.2,4.4,5.0
1834.6666666666667,1834-09-01,10.05,6.7,6.7
1834.7486338797814,1834-10-01,10.25,6.1,7.2
1834.8333333333333,1834-11-01,11.15,6.7,7.8
1834.9153005464482,1834-12-01,10.25,6.1,7.2
1834.035519125683,1834-01-13,12.200000000000001,7.8,8.3
1834.0382513661202,1834-01-14,10.25,6.1,7.2
1834.0409836065573,1834-01-15,10.05,6.7,6.7
1834.0437158469945,1834-01-16,13.05,8.3,8.9
1834.0464480874316,1834-01-17,12.200000000000001,7.8,8.3
1834.049180327869,1834-01-18,8.3,4.4,6.1
1834.051912568306,1834-01-19,10.0,5.6,7.2
1834.0546448087432,1834-01-20,10.8,5.0,8.3
1834.0573770491803,1834-01-21,15.6,10.0,10.6
1834.0601092896175,1834-01-22,11.4,7.2,7.8
1834.0628415300546,1834-01-23,20.8,12.8,14.4
1834.0655737704917,1834-01-24,19.4,12.2,13.3
1834.068306010929,1834-01-25,11.9,7.2,8.3
1834.0710382513662,1834-01-26,16.4,12.8,10.0
1834.0737704918033,1834-01-27,8.9,4.4,6.7
1834.0765027322404,1834-01-28,8.049999999999999,3.9,6.1
1834.0792349726776,1834-01-29,7.8,4.4,5.6
1834.0819672131147,1834-01-30,15.3,9.4,10.6
1834.0846994535518,1834-01-31,14.45,8.9,10.0
1834.0054644808743,1834-01-02,8.899999999999999,5.6,6.1
1834.0901639344263,1834-02-02,10.25,6.1,7.2
1834.1666666666667,1834-03-02,12.5,7.2,8.9
1834.2513661202186,1834-04-02,8.899999999999999,5.6,6.1
1834.3333333333333,1834-05-02,13.05,8.3,8.9
1834.4180327868853,1834-06-02,8.3,4.4,6.1
1834.5,1834-07-02,10.850000000000001,8.3,6.7
1834.5846994535518,1834-08-02,11.4,7.2,7.8
1834.6693989071039,1834-09-02,12.200000000000001,7.8,8.3
1834.7513661202186,1834-10-02,13.9,7.8,10.0
1834.8360655737704,1834-11-02,12.450000000000001,8.3,8.3
1834.9180327868853,1834-12-02,8.9,4.4,6.7
1834.120218579235,1834-02-13,12.200000000000001,7.8,8.3
1834.122950819672,1834-02-14,13.55,8.3,9.4
1834.1256830601094,1834-02-15,13.9,7.8,10.0
1834.1284153005465,1834-02-16,11.9,7.2,8.3
1834.1311475409836,1834-02-17,13.850000000000001,8.9,9.4
1834.1338797814208,1834-02-18,16.1,10.0,11.1
1834.136612021858,1834-02-19,12.75,6.7,9.4
1834.139344262295,1834-02-20,12.200000000000001,7.8,8.3
1834.1420765027322,1834-02-21,8.9,4.4,6.7
1834.1448087431695,1834-02-22,16.9,9.4,12.2
1834.1475409836066,1834-02-23,13.55,8.3,9.4
1834.1502732240438,1834-02-24,14.7,9.4,10.0
1834.1530054644809,1834-02-25,13.05,8.3,8.9
1834.155737704918,1834-02-26,17.75,11.1,12.2
1834.1584699453551,1834-02-27,11.65,6.7,8.3
1834.1612021857923,1834-02-28,13.05,8.3,8.9
1834.0081967213114,1834-01-03,19.4,12.2,13.3
1834.0928961748634,1834-02-03,14.75,8.3,10.6
1834.1693989071039,1834-03-03,18.1,12.8,11.7
1834.2540983606557,1834-04-03,19.700000000000003,12.8,13.3
1834.3360655737704,1834-05-03,14.2,7.2,10.6
1834.4207650273224,1834-06-03,13.9,7.8,10.0
1834.5027322404371,1834-07-03,15.05,8.9,10.6
1834.5874316939892,1834-08-03,16.1,10.0,11.1
1834.672131147541,1834-09-03,18.35,11.1,12.8
1834.7540983606557,1834-10-03,20.55,13.3,13.9
1834.8387978142077,1834-11-03,17.75,11.1,12.2
1834.9207650273224,1834-12-03,15.8,9.4,11.1
1834.1967213114754,1834-03-13,17.2,10.0,12.2
1834.1994535519125,1834-03-14,14.7,9.4,10.0
1834.2021857923498,1834-03-15,15.6,10.0,10.6
1834.204918032787,1834-03-16,13.05,8.3,8.9
1834.207650273224,1834-03-17,12.200000000000001,7.8,8.3
1834.2103825136612,1834-03-18,13.05,8.3,8.9
1834.2131147540983,1834-03-19,9.75,6.1,6.7
1834.2158469945355,1834-03-20,12.200000000000001,7.8,8.3
1834.2185792349726,1834-03-21,13.55,8.3,9.4
1834.22131147541,1834-03-22,12.8,7.8,8.9
1834.224043715847,1834-03-23,16.65,11.1,11.1
1834.2267759562842,1834-03-24,14.45,8.9,10.0
1834.2295081967213,1834-03-25,12.200000000000001,7.8,8.3
1834.2322404371585,1834-03-26,17.0,10.6,11.7
1834.2349726775956,1834-03-27,18.85,11.1,13.3
1834.2377049180327,1834-03-28,15.55,8.9,11.1
1834.24043715847,1834-03-29,14.7,9.4,10.0
1834.2431693989072,1834-03-30,13.55,8.3,9.4
1834.2459016393443,1834-03-31,14.45,8.9,10.0
1834.0109289617487,1834-01-04,,,
1834.0956284153006,1834-02-04,,,
1834.172131147541,1834-03-04,,,
1834.2568306010928,1834-04-04,,,
1834.3387978142077,1834-05-04,,,
1834.4234972677596,1834-06-04,,,
1834.5054644808743,1834-07-04,,,
1834.5901639344263,1834-08-04,,,
1834.6748633879781,1834-09-04,,,
1834.7568306010928,1834-10-04,,,
1834.8415300546449,1834-11-04,,,
1834.9234972677596,1834-12-04,,,
1834.2814207650274,1834-04-13,,,
1834.2841530054645,1834-04-14,,,
1834.2868852459017,1834-04-15,,,
1834.2896174863388,1834-04-16,,,
1834.292349726776,1834-04-17,,,
1834.295081967213,1834-04-18,,,
1834.2978142076502,1834-04-19,,,
1834.3005464480875,1834-04-20,,,
1834.3032786885246,1834-04-21,,,
1834.3060109289618,1834-04-22,,,
1834.308743169399,1834-04-23,,,
1834.311475409836,1834-04-24,,,
1834.3142076502731,1834-04-25,,,
1834.3169398907103,1834-04-26,,,
1834.3196721311476,1834-04-27,,,
1834.3224043715848,1834-04-28,,,
1834.3251366120219,1834-04-29,,,
1834.327868852459,1834-04-30,,,
1834.0136612021859,1834-01-05,,,
1834.0983606557377,1834-02-05,,,
