year reset dt,year reset,year,temp c,anom c,modern anom c,modern temp c,temp c resample 1000Y,temp c mean
0,0.0,-819888.0,-61.74999999999997,,,,,
999,,,,,,,,-61.74999999999997
1069,1069.0,-818819.0,-61.74999999999997,,,,,
1999,,,,,,,,-61.74999999999997
2138,2138.0,-817750.0,-61.84999999999997,,,,,
2999,,,,,,,,-61.84999999999997
3207,3207.0,-816681.0,-61.94999999999999,,,,,
3999,,,,,,,,-61.94999999999999
4276,4276.0,-815612.0,-62.14999999999998,,,,,
4999,,,,,,,,-62.14999999999998
5345,5345.0,-814543.0,-62.24999999999997,,,,,
5999,,,,,,,,-62.24999999999997
6414,6414.0,-813474.0,-61.94999999999999,,,,,
6999,,,,,,,,-61.94999999999999
7483,7483.0,-812405.0,-61.94999999999999,,,,,
7999,,,,,,,,-61.94999999999999
8552,8552.0,-811336.0,-62.04999999999998,,,,,
8999,,,,,,,,-62.04999999999998
9621,9621.0,-810267.0,-62.14999999999998,,,,,
9999,,,,,,,,-62.14999999999998
10690,10690.0,-809198.0,-62.24999999999997,,,,,
10999,,,,,,,,-62.24999999999997
11759,11759.0,-808129.0,-62.64999999999998,,,,,
11999,,,,,,,,-62.64999999999998
12828,12828.0,-807060.0,-62.84999999999997,,,,,
12999,,,,,,,,-62.84999999999997
13897,13897.0,-805991.0,-62.44999999999999,,,,,
13999,,,,,,,,-62.44999999999999
14966,14966.0,-804922.0,-63.44999999999999,,,,,
14999,,,,,,,,-63.44999999999999
15999,,,,,,,,
16035,16035.0,-803853.0,-63.84999999999997,,,,,
16999,,,,,,,,-63.84999999999997
17104,17104.0,-802784.0,-63.44999999999999,,,,,
17999,,,,,,,,-63.44999999999999
18153,18153.0,-801735.0,-63.54999999999998,,,,,
18999,,,,,,,,-63.54999999999998
19201,19201.0,-800687.0,-63.14999999999998,,,,,
19999,,,,,,,,-63.14999999999998
20176,20176.0,-799712.0,,-8.82,,,,
20250,20250.0,-799638.0,-63.54999999999998,,,,,
20999,,,,,,,,-63.54999999999998
21249,21249.0,-798639.0,,-8.92,,,,
21294,21294.0,-798594.0,-63.54999999999998,,,,,
21999,,,,,,,,-63.54999999999998
22337,22337.0,-797551.0,-63.54999999999998,-8.88,,,,
22999,,,,,,,,-63.54999999999998
23381,23381.0,-796507.0,-63.24999999999997,,,,,
23395,23395.0,-796493.0,,-8.54,,,,
23999,,,,,,,,-63.24999999999997
24287,24287.0,-795601.0,-62.94999999999999,,,,,
24430,24430.0,-795458.0,,-8.73,,,,
24999,,,,,,,,-62.94999999999999
25194,25194.0,-794694.0,-62.04999999999998,,,,,
25389,25389.0,-794499.0,,-8.53,,,,
25999,,,,,,,,-62.04999999999998
26100,26100.0,-793788.0,-61.24999999999997,,,,,
26282,26282.0,-793606.0,,-8.23,,,,
26874,26874.0,-793014.0,-60.64999999999998,,,,,
26999,,,,,,,,-60.949999999999974
27130,27130.0,-792758.0,,-7.33,,,,
27647,27647.0,-792241.0,-60.44999999999999,,,,,
27962,27962.0,-791926.0,,-6.51,,,,
27999,,,,,,,,-60.44999999999999
28421,28421.0,-791467.0,-59.94999999999999,,,,,
