,bag,ztop,EDC3béta,AICC2012,deutfinal,temp k,acc-EDC3beta,temp c,edc year,aicc year,temp c rolling mean 1000
5818,5819,3199.9,820093.9,821838.0,-430.0,211.4,1.583,-61.74999999999997,-818143.9,-819888.0,
5817,5818,3199.35,819303.1,820769.0,-429.8,211.4,1.589,-61.74999999999997,-817353.1,-818819.0,
5816,5817,3198.8,818505.5,819700.0,-430.3,211.3,1.576,-61.849999999999966,-816555.5,-817750.0,
5815,5816,3198.25,817693.6,818631.0,-431.4,211.2,1.548,-61.94999999999999,-815743.6,-816681.0,
5814,5815,3197.7,816871.6,817562.0,-432.2,211.0,1.529,-62.14999999999998,-814921.6,-815612.0,
5813,5814,3197.15,816037.8,816493.0,-433.1,210.9,1.507,-62.24999999999997,-814087.8,-814543.0,
5812,5813,3196.6,815229.1,815424.0,-431.2,211.2,1.553,-61.94999999999999,-813279.1,-813474.0,
5811,5812,3196.05,814422.8,814355.0,-431.0,211.2,1.558,-61.94999999999999,-812472.8,-812405.0,
5810,5811,3195.5,813607.6,813286.0,-431.7,211.1,1.541,-62.04999999999998,-811657.6,-811336.0,
5809,5810,3194.95,812783.5,812217.0,-432.4,211.0,1.524,-62.14999999999998,-810833.5,-810267.0,
5808,5809,3194.4,811949.6,811148.0,-433.1,210.9,1.506,-62.24999999999997,-809999.6,-809198.0,
5807,5808,3193.85,811085.2,810079.0,-435.4,210.5,1.452,-62.64999999999998,-809135.2,-808129.0,
5806,5807,3193.3,810202.4,809010.0,-436.7,210.3,1.422,-62.849999999999966,-808252.4,-807060.0,
5805,5806,3192.75,809348.4,807941.0,-434.5,210.7,1.47,-62.44999999999999,-807398.4,-805991.0,
5804,5805,3192.2,808416.7,806872.0,-440.1,209.7,1.347,-63.44999999999999,-806466.7,-804922.0,
5803,5804,3191.65,807447.6,805803.0,-442.5,209.3,1.295,-63.849999999999966,-805497.6,-803853.0,
5802,5803,3191.1,806515.2,804734.0,-440.1,209.7,1.345,-63.44999999999999,-804565.2,-802784.0,
5801,5802,3190.55,805574.1,803685.3333,-440.7,209.6,1.333,-63.54999999999998,-803624.1,-801735.3333,
5800,5801,3190.0,804662.5,802636.6667,-438.7,210.0,1.376,-63.14999999999998,-802712.5,-800686.6667,
5799,5800,3189.45,803718.9,801588.0,-440.9,209.6,1.329,-63.54999999999998,-801768.9,-799638.0,
